Year,flow
13/01/1964,340.9
14/01/1964,390
15/01/1964,255
16/01/1964,391.3
17/01/1964,361.5
18/01/1964,333.6
19/01/1964,394.8
20/01/1964,353.7
21/01/1964,351.6
22/01/1964,286
23/01/1964,308.5
24/01/1964,315.3
25/01/1964,250.7
26/01/1964,250.6
27/01/1964,316.9
28/01/1964,251.5
29/01/1964,251.2
30/01/1964,319.1
31/01/1964,330.6
01/02/1964,310
02/02/1964,254.6
03/02/1964,321.2
04/02/1964,254.6
05/02/1964,254.1
06/02/1964,320.9
07/02/1964,255.2
08/02/1964,255.4
09/02/1964,323.7
10/02/1964,259.7
11/02/1964,326.4
12/02/1964,329
13/02/1964,270.2
14/02/1964,268.6
15/02/1964,202.4
16/02/1964,269
17/02/1964,269.1
18/02/1964,190.7
19/02/1964,268.3
20/02/1964,231.1
21/02/1964,219.9
22/02/1964,278.6
23/02/1964,213
24/02/1964,288.3
25/02/1964,222.3
26/02/1964,222.2
27/02/1964,216.1
28/02/1964,225.5
29/02/1964,237.2
01/03/1964,192
02/03/1964,202.8
03/03/1964,201.6
04/03/1964,202.5
05/03/1964,212.4
06/03/1964,205.2
07/03/1964,191.3
08/03/1964,184.8
09/03/1964,178.3
10/03/1964,193.7
11/03/1964,179.1
12/03/1964,180.7
13/03/1964,181.3
14/03/1964,167.8
15/03/1964,175.6
16/03/1964,169.1
17/03/1964,162.3
18/03/1964,196.1
19/03/1964,156
20/03/1964,155.8
21/03/1964,155.4
22/03/1964,155.7
23/03/1964,156.2
24/03/1964,149.1
25/03/1964,141.1
26/03/1964,148.9
27/03/1964,141.5
28/03/1964,135.1
29/03/1964,135
30/03/1964,128.4
31/03/1964,128.6
01/04/1964,154.9
02/04/1964,155.8
03/04/1964,156.3
04/04/1964,120.9
05/04/1964,120.1
06/04/1964,120.2
07/04/1964,113.3
08/04/1964,119.3
09/04/1964,118.3
10/04/1964,118.1
11/04/1964,117.6
12/04/1964,110.3
13/04/1964,109.3
14/04/1964,109.7
15/04/1964,109.3
16/04/1964,103.5
17/04/1964,110.7
18/04/1964,103.9
19/04/1964,103.8
20/04/1964,103
21/04/1964,103.7
22/04/1964,103.7
23/04/1964,99.1
24/04/1964,98.8
25/04/1964,89.5
26/04/1964,92.5
27/04/1964,92.7
28/04/1964,86
29/04/1964,90.7
30/04/1964,91.6
01/05/1964,91
02/05/1964,91.4
03/05/1964,84.2
04/05/1964,77.1
05/05/1964,89.7
06/05/1964,81.1
07/05/1964,82
08/05/1964,81.6
09/05/1964,86.2
10/05/1964,80.7
11/05/1964,96.5
12/05/1964,69.9
13/05/1964,81.6
14/05/1964,68.6
15/05/1964,74.2
16/05/1964,74.9
17/05/1964,79.9
18/05/1964,78.8
19/05/1964,71.1
20/05/1964,71.2
21/05/1964,70.3
22/05/1964,74.1
23/05/1964,73.1
24/05/1964,72.3
25/05/1964,71.8
26/05/1964,70.4
27/05/1964,75.1
28/05/1964,76.5
29/05/1964,82.1
30/05/1964,49.1
31/05/1964,100.7
01/06/1964,65.8
02/06/1964,52.1
03/06/1964,45.7
04/06/1964,93.7
05/06/1964,87.1
06/06/1964,61.8
07/06/1964,69.5
08/06/1964,59.6
09/06/1964,58.2
10/06/1964,74
11/06/1964,80.8
12/06/1964,80.6
13/06/1964,66.2
14/06/1964,49.7
15/06/1964,58.3
16/06/1964,67.3
17/06/1964,55
18/06/1964,63.4
19/06/1964,57.7
20/06/1964,47.8
21/06/1964,64.8
22/06/1964,74.9
23/06/1964,69
24/06/1964,67.7
25/06/1964,73.2
26/06/1964,71.4
27/06/1964,52.1
28/06/1964,69.5
29/06/1964,54.7
30/06/1964,75.5
01/07/1964,54.3
02/07/1964,43.2
03/07/1964,56.4
04/07/1964,43.6
05/07/1964,51.6
06/07/1964,40.7
07/07/1964,46.7
08/07/1964,52
09/07/1964,46.6
10/07/1964,36.3
11/07/1964,43.7
12/07/1964,51.9
13/07/1964,35.7
14/07/1964,48.7
15/07/1964,53.7
16/07/1964,50
17/07/1964,39.9
18/07/1964,50.2
19/07/1964,49
20/07/1964,37.9
21/07/1964,38.9
22/07/1964,52.8
23/07/1964,54.5
24/07/1964,36.8
25/07/1964,43.4
26/07/1964,50.4
27/07/1964,43.4
28/07/1964,37.1
29/07/1964,41.8
30/07/1964,47.6
31/07/1964,37.4
01/08/1964,43.4
02/08/1964,43.1
03/08/1964,31.6
04/08/1964,42
05/08/1964,51.8
06/08/1964,53.1
07/08/1964,37.4
08/08/1964,29.4
09/08/1964,31.6
10/08/1964,63.6
11/08/1964,32.7
12/08/1964,56.8
13/08/1964,57.5
14/08/1964,29.8
15/08/1964,33.5
16/08/1964,59
17/08/1964,42.9
18/08/1964,36.2
19/08/1964,37.4
20/08/1964,38.6
21/08/1964,45.9
22/08/1964,39.7
23/08/1964,64.1
24/08/1964,29.9
25/08/1964,52
26/08/1964,34.6
27/08/1964,68
28/08/1964,36.8
29/08/1964,37.2
30/08/1964,60.2
31/08/1964,60.8
01/09/1964,61.3
02/09/1964,60.3
03/09/1964,66.9
04/09/1964,56.2
05/09/1964,87.3
06/09/1964,80.1
07/09/1964,72.8
08/09/1964,79.9
09/09/1964,79.6
10/09/1964,98.7
11/09/1964,68.1
12/09/1964,59.8
13/09/1964,61.5
14/09/1964,51.7
15/09/1964,58.1
16/09/1964,62.1
17/09/1964,49.7
18/09/1964,45.1
19/09/1964,53.4
20/09/1964,62.8
21/09/1964,46.7
22/09/1964,56.9
23/09/1964,79.8
24/09/1964,328
25/09/1964,479.6
26/09/1964,180.6
27/09/1964,159.2
28/09/1964,79.3
29/09/1964,117.6
30/09/1964,75.5
01/10/1964,115.1
02/10/1964,80.3
03/10/1964,78.5
04/10/1964,78.8
05/10/1964,63.6
06/10/1964,79.1
07/10/1964,119.1
08/10/1964,120.1
09/10/1964,104
10/10/1964,81.9
11/10/1964,83.4
12/10/1964,73.1
13/10/1964,105.8
14/10/1964,83.1
15/10/1964,93.4
16/10/1964,93.1
17/10/1964,88.8
18/10/1964,86.8
19/10/1964,50
20/10/1964,102
21/10/1964,369.7
22/10/1964,1017.2
23/10/1964,350.6
24/10/1964,267.3
25/10/1964,215.2
26/10/1964,615.1
27/10/1964,229.8
28/10/1964,275.7
29/10/1964,231.6
30/10/1964,190.7
31/10/1964,190.1
01/11/1964,685.9
02/11/1964,1133.8
03/11/1964,531.5
04/11/1964,391.9
05/11/1964,344
06/11/1964,328.8
07/11/1964,296.7
08/11/1964,640.2
09/11/1964,978.4
10/11/1964,606.7
11/11/1964,457.5
12/11/1964,458.6
13/11/1964,391.9
14/11/1964,320.5
15/11/1964,357.6
16/11/1964,288.3
17/11/1964,306
18/11/1964,303
19/11/1964,251.4
20/11/1964,289.9
21/11/1964,253.2
22/11/1964,254
23/11/1964,290.3
24/11/1964,308.4
25/11/1964,254.4
26/11/1964,254.4
27/11/1964,345.7
28/11/1964,425.9
29/11/1964,486.9
30/11/1964,414.6
01/12/1964,380.4
02/12/1964,325
03/12/1964,309.4
04/12/1964,296.1
05/12/1964,282.7
06/12/1964,271
07/12/1964,268.3
08/12/1964,242.7
09/12/1964,242.1
10/12/1964,235.8
11/12/1964,246.2
12/12/1964,243.6
13/12/1964,581.2
14/12/1964,603.7
15/12/1964,497
16/12/1964,435.2
17/12/1964,384.2
18/12/1964,370.8
19/12/1964,380.1
20/12/1964,409.8
21/12/1964,438.4
22/12/1964,445.9
23/12/1964,440.5
24/12/1964,471.4
25/12/1964,452.5
26/12/1964,425.2
27/12/1964,398
28/12/1964,387.9
29/12/1964,389.4
30/12/1964,375.9
31/12/1964,374.8
01/01/1965,395
02/01/1965,388.9
03/01/1965,661.5
04/01/1965,651.6
05/01/1965,544.8
06/01/1965,480.4
07/01/1965,441.8
08/01/1965,442.5
09/01/1965,441.9
10/01/1965,421.8
11/01/1965,423.4
12/01/1965,418.8
13/01/1965,460.9
14/01/1965,438.2
15/01/1965,409.1
16/01/1965,396.2
17/01/1965,374.7
18/01/1965,364
19/01/1965,348.7
20/01/1965,340.3
21/01/1965,325
22/01/1965,328.1
23/01/1965,344.1
24/01/1965,327.7
25/01/1965,339.9
26/01/1965,327.6
27/01/1965,322.6
28/01/1965,348.5
29/01/1965,331.2
30/01/1965,449.1
31/01/1965,581.3
01/02/1965,445.6
02/02/1965,429.4
03/02/1965,391.6
04/02/1965,405.5
05/02/1965,391.5
06/02/1965,401.3
07/02/1965,402.6
08/02/1965,404.5
09/02/1965,386.2
10/02/1965,366.8
11/02/1965,331.7
12/02/1965,407
13/02/1965,352.1
14/02/1965,355.4
15/02/1965,315.3
16/02/1965,330
17/02/1965,324
18/02/1965,334
19/02/1965,327.5
20/02/1965,318
21/02/1965,325.6
22/02/1965,309.8
23/02/1965,365.6
24/02/1965,326.3
25/02/1965,320.3
26/02/1965,303
27/02/1965,299.3
28/02/1965,257.7
01/03/1965,350.2
02/03/1965,308
03/03/1965,312.2
04/03/1965,292.3
05/03/1965,277.5
06/03/1965,271.6
07/03/1965,270.2
08/03/1965,264.4
09/03/1965,256.5
10/03/1965,249.9
11/03/1965,236.7
12/03/1965,240
13/03/1965,231.1
14/03/1965,229.6
15/03/1965,229.6
16/03/1965,201
17/03/1965,222.5
18/03/1965,209.6
19/03/1965,201.9
20/03/1965,196.3
21/03/1965,210.9
22/03/1965,197.2
23/03/1965,188.6
24/03/1965,202.7
25/03/1965,181.2
26/03/1965,187.6
27/03/1965,180.9
28/03/1965,165.6
29/03/1965,193.9
30/03/1965,151.6
31/03/1965,173
01/04/1965,158.6
02/04/1965,166.4
03/04/1965,151.3
04/04/1965,156.6
05/04/1965,149.2
06/04/1965,151.7
07/04/1965,144.4
08/04/1965,151.1
09/04/1965,137.1
10/04/1965,143.6
11/04/1965,144.6
12/04/1965,137.1
13/04/1965,143.5
14/04/1965,141.3
15/04/1965,141.4
16/04/1965,137.3
17/04/1965,141.3
18/04/1965,139.3
19/04/1965,134.8
20/04/1965,128.2
21/04/1965,134.9
22/04/1965,119.4
23/04/1965,113
24/04/1965,127.6
25/04/1965,115.7
26/04/1965,115.6
27/04/1965,128.6
28/04/1965,118.1
29/04/1965,112.6
30/04/1965,128.2
01/05/1965,102.9
02/05/1965,111
03/05/1965,101.7
04/05/1965,93.3
05/05/1965,106.7
06/05/1965,114.2
07/05/1965,108.2
08/05/1965,101.4
09/05/1965,109
10/05/1965,102.9
11/05/1965,95.8
12/05/1965,95.6
13/05/1965,103.4
14/05/1965,102.1
15/05/1965,89.4
16/05/1965,97.5
17/05/1965,98.1
18/05/1965,91.6
19/05/1965,101.3
20/05/1965,83.7
21/05/1965,93
22/05/1965,93.5
23/05/1965,92.8
24/05/1965,87.2
25/05/1965,87.7
26/05/1965,95.5
27/05/1965,94.5
28/05/1965,81.2
29/05/1965,86
30/05/1965,79.8
31/05/1965,96.4
01/06/1965,88.5
02/06/1965,74.2
03/06/1965,102.3
04/06/1965,68.1
05/06/1965,102.6
06/06/1965,78.4
07/06/1965,87.4
08/06/1965,83.7
09/06/1965,85
10/06/1965,91.5
11/06/1965,81
12/06/1965,87.9
13/06/1965,88.5
14/06/1965,44.1
15/06/1965,75
16/06/1965,95
17/06/1965,65.5
18/06/1965,84.4
19/06/1965,64.1
20/06/1965,95.5
21/06/1965,75.9
22/06/1965,78.8
23/06/1965,87.4
24/06/1965,84.5
25/06/1965,82
26/06/1965,77.9
27/06/1965,76.8
28/06/1965,89
29/06/1965,90.9
30/06/1965,97
01/07/1965,97.1
02/07/1965,81.3
03/07/1965,89.6
04/07/1965,110.8
05/07/1965,84.3
06/07/1965,99
07/07/1965,55.7
08/07/1965,68.1
09/07/1965,68.9
10/07/1965,60
11/07/1965,67
12/07/1965,61.5
13/07/1965,61.3
14/07/1965,56.3
15/07/1965,81.9
16/07/1965,58.1
17/07/1965,59
18/07/1965,65.5
19/07/1965,66.3
20/07/1965,61.3
21/07/1965,88.7
22/07/1965,55.3
23/07/1965,56.4
24/07/1965,68.1
25/07/1965,69.6
26/07/1965,62.9
27/07/1965,71.3
28/07/1965,70.6
29/07/1965,61.6
30/07/1965,66
31/07/1965,73
01/08/1965,54.2
02/08/1965,65.3
03/08/1965,60.9
04/08/1965,61.1
05/08/1965,57.3
06/08/1965,72.8
07/08/1965,64.6
08/08/1965,59.7
09/08/1965,85.6
10/08/1965,62.8
11/08/1965,79.8
12/08/1965,239.9
13/08/1965,158.7
14/08/1965,206.5
15/08/1965,138.3
16/08/1965,124.3
17/08/1965,134
18/08/1965,117.8
19/08/1965,107.9
20/08/1965,101.1
21/08/1965,208.1
22/08/1965,561.7
23/08/1965,450.2
24/08/1965,278.7
25/08/1965,205.3
26/08/1965,168.9
27/08/1965,151.1
28/08/1965,133.3
29/08/1965,128.8
30/08/1965,278.1
31/08/1965,591.4
01/09/1965,646.1
02/09/1965,318.6
03/09/1965,303.3
04/09/1965,237.6
05/09/1965,221.9
06/09/1965,179.9
07/09/1965,179.3
08/09/1965,169.2
09/09/1965,117.8
10/09/1965,191.6
11/09/1965,151.1
12/09/1965,146.1
13/09/1965,134
14/09/1965,138.7
15/09/1965,132.2
16/09/1965,127.5
17/09/1965,122.1
18/09/1965,122.6
19/09/1965,123
20/09/1965,106.8
21/09/1965,134.9
22/09/1965,119.6
23/09/1965,110.5
24/09/1965,118.7
25/09/1965,116.7
26/09/1965,111.1
27/09/1965,122.9
28/09/1965,100.9
29/09/1965,113.6
30/09/1965,102.9
01/10/1965,99.7
02/10/1965,110.2
03/10/1965,97.1
04/10/1965,92
05/10/1965,97.9
06/10/1965,102.8
07/10/1965,101.6
08/10/1965,93.1
09/10/1965,95.4
10/10/1965,138.4
11/10/1965,68
12/10/1965,234.7
13/10/1965,110.5
14/10/1965,112.3
15/10/1965,117.9
16/10/1965,108.9
17/10/1965,107.2
18/10/1965,101.2
19/10/1965,101.9
20/10/1965,107
21/10/1965,101.3
22/10/1965,95.4
23/10/1965,104.3
24/10/1965,96.5
25/10/1965,110
26/10/1965,149.9
27/10/1965,140.4
28/10/1965,123.4
29/10/1965,123.4
30/10/1965,113.3
31/10/1965,103.9
01/11/1965,119.9
02/11/1965,99.7
03/11/1965,122.8
04/11/1965,98.1
05/11/1965,107.1
06/11/1965,109.1
07/11/1965,140.9
08/11/1965,77.7
09/11/1965,151.9
10/11/1965,119.8
11/11/1965,175.3
12/11/1965,274.9
13/11/1965,1115.2
14/11/1965,1078.7
15/11/1965,2927
16/11/1965,1399.6
17/11/1965,891.9
18/11/1965,654.4
19/11/1965,545.9
20/11/1965,477.5
21/11/1965,419.2
22/11/1965,398.7
23/11/1965,363.7
24/11/1965,336.6
25/11/1965,322
26/11/1965,295.9
27/11/1965,286.8
28/11/1965,289.9
29/11/1965,276.4
30/11/1965,264.8
01/12/1965,314.8
02/12/1965,304.7
03/12/1965,301.6
04/12/1965,272.6
05/12/1965,256.8
06/12/1965,258.7
07/12/1965,256.4
08/12/1965,240.1
09/12/1965,241.2
10/12/1965,236.2
11/12/1965,237.6
12/12/1965,680.3
13/12/1965,580.4
14/12/1965,434.1
15/12/1965,386.4
16/12/1965,364.1
17/12/1965,338.4
18/12/1965,338.3
19/12/1965,330.1
20/12/1965,321.2
21/12/1965,298.2
22/12/1965,312.7
23/12/1965,316.3
24/12/1965,527.4
25/12/1965,888.9
26/12/1965,746.5
27/12/1965,648.5
28/12/1965,578.5
29/12/1965,513.9
30/12/1965,475.9
31/12/1965,474.9
01/01/1966,458
02/01/1966,438.6
03/01/1966,392
04/01/1966,387.5
05/01/1966,358.2
06/01/1966,356.7
07/01/1966,361.9
08/01/1966,331.9
09/01/1966,356.1
10/01/1966,349.7
11/01/1966,324.2
12/01/1966,307.7
13/01/1966,301.9
14/01/1966,306.2
15/01/1966,318
16/01/1966,298.6
17/01/1966,300.8
18/01/1966,291.4
19/01/1966,304.9
20/01/1966,321.7
21/01/1966,330.1
22/01/1966,339.2
23/01/1966,328.8
24/01/1966,284.6
25/01/1966,315.7
26/01/1966,318
27/01/1966,305
28/01/1966,344.6
29/01/1966,347.6
30/01/1966,367.1
31/01/1966,374.9
01/02/1966,361.7
02/02/1966,364.5
03/02/1966,377.3
04/02/1966,385.2
05/02/1966,359.6
06/02/1966,321.7
07/02/1966,346.6
08/02/1966,322.5
09/02/1966,319.6
10/02/1966,310.1
11/02/1966,336.9
12/02/1966,324.2
13/02/1966,341.9
14/02/1966,371.9
15/02/1966,346
16/02/1966,439.5
17/02/1966,495.5
18/02/1966,396.4
19/02/1966,388.9
20/02/1966,341.6
21/02/1966,322.6
22/02/1966,325.5
23/02/1966,309.3
24/02/1966,297.1
25/02/1966,298
26/02/1966,269.4
27/02/1966,276.5
28/02/1966,270.5
01/03/1966,274.8
02/03/1966,283.8
03/03/1966,264.9
04/03/1966,263.1
05/03/1966,250
06/03/1966,248.8
07/03/1966,249.6
08/03/1966,245.1
09/03/1966,249.9
10/03/1966,244.2
11/03/1966,243.5
12/03/1966,208
13/03/1966,230.1
14/03/1966,236.7
15/03/1966,251.7
16/03/1966,192.7
17/03/1966,215.6
18/03/1966,200.6
19/03/1966,201.6
20/03/1966,209.2
21/03/1966,195.4
22/03/1966,215.1
23/03/1966,200.7
24/03/1966,201
25/03/1966,200.6
26/03/1966,185.4
27/03/1966,191.9
28/03/1966,193.7
29/03/1966,178.8
30/03/1966,186
31/03/1966,186.5
01/04/1966,166
02/04/1966,151.7
03/04/1966,143
04/04/1966,178
05/04/1966,171.7
06/04/1966,171.2
07/04/1966,165.3
08/04/1966,166.1
09/04/1966,151.4
10/04/1966,178.5
11/04/1966,157.5
12/04/1966,143.7
13/04/1966,157
14/04/1966,165.5
15/04/1966,144.7
16/04/1966,152.8
17/04/1966,165.9
18/04/1966,152.1
19/04/1966,124.1
20/04/1966,144.6
21/04/1966,162.8
22/04/1966,123.3
23/04/1966,157.4
24/04/1966,138.7
25/04/1966,144.3
26/04/1966,137.7
27/04/1966,138.7
28/04/1966,123.8
29/04/1966,136.3
30/04/1966,116.5
01/05/1966,130.3
02/05/1966,131.8
03/05/1966,131.5
04/05/1966,111.8
05/05/1966,124.8
06/05/1966,125.3
07/05/1966,97.7
08/05/1966,132
09/05/1966,105
10/05/1966,118.3
11/05/1966,116.2
12/05/1966,104.7
13/05/1966,113.8
14/05/1966,107.3
15/05/1966,117
16/05/1966,109.8
17/05/1966,110.1
18/05/1966,116.3
19/05/1966,102.5
20/05/1966,109.5
21/05/1966,110
22/05/1966,103.5
23/05/1966,111.3
24/05/1966,111.2
25/05/1966,96.4
26/05/1966,105
27/05/1966,104.3
28/05/1966,98.8
29/05/1966,105
30/05/1966,84.8
31/05/1966,98.2
01/06/1966,99.8
02/06/1966,125.4
03/06/1966,79.7
04/06/1966,98.7
05/06/1966,89
06/06/1966,94.6
07/06/1966,108.7
08/06/1966,101.1
09/06/1966,95.5
10/06/1966,89.1
11/06/1966,90.3
12/06/1966,102.1
13/06/1966,96.9
14/06/1966,77.7
15/06/1966,104.4
16/06/1966,97
17/06/1966,97.7
18/06/1966,85.2
19/06/1966,86.4
20/06/1966,98.4
21/06/1966,97.5
22/06/1966,124.1
23/06/1966,80.6
24/06/1966,87.1
25/06/1966,82.2
26/06/1966,99.6
27/06/1966,99.3
28/06/1966,83
29/06/1966,117.6
30/06/1966,89.7
01/07/1966,113.7
02/07/1966,96.5
03/07/1966,83.4
04/07/1966,103.1
05/07/1966,85.5
06/07/1966,80.7
07/07/1966,78.2
08/07/1966,76
09/07/1966,57.5
10/07/1966,55.7
11/07/1966,53
12/07/1966,50.1
13/07/1966,50.9
14/07/1966,48.1
15/07/1966,55.2
16/07/1966,78.1
17/07/1966,74.6
18/07/1966,78.3
19/07/1966,84.8
20/07/1966,56.6
21/07/1966,63.4
22/07/1966,64.2
23/07/1966,58.5
24/07/1966,86.8
25/07/1966,70.8
26/07/1966,65
27/07/1966,139.4
28/07/1966,120
29/07/1966,92.2
30/07/1966,74.6
31/07/1966,80.8
01/08/1966,109.9
02/08/1966,32
03/08/1966,76.6
04/08/1966,59.8
05/08/1966,82.2
06/08/1966,77.6
07/08/1966,72.8
08/08/1966,225.1
09/08/1966,256.5
10/08/1966,127
11/08/1966,103.9
12/08/1966,88.1
13/08/1966,111.9
14/08/1966,73.8
15/08/1966,75.7
16/08/1966,78.7
17/08/1966,73.5
18/08/1966,83.7
19/08/1966,73.9
20/08/1966,75
21/08/1966,73.3
22/08/1966,63.5
23/08/1966,62.6
24/08/1966,97.7
25/08/1966,75.1
26/08/1966,75.1
27/08/1966,80.7
28/08/1966,60.3
29/08/1966,64.6
30/08/1966,59.8
31/08/1966,70.5
01/09/1966,71.3
02/09/1966,82.9
03/09/1966,35.8
04/09/1966,73.3
